x,y,z
-2741.2509765625,349.4989318847656,-4436.640625
-2741.2509765625,349.49896240234375,-4436.640625
-2741.2509765625,349.4989929199219,-4436.64111328125
-2741.2509765625,349.4990234375,-4436.64111328125
-2741.2509765625,349.4990234375,-4436.64111328125
-2741.2509765625,349.4990234375,-4436.64111328125
-2741.2509765625,349.4990539550781,-4436.64111328125
-2741.251220703125,349.4990234375,-4436.64111328125
-2741.25146484375,349.4990234375,-4436.6416015625
-2741.25146484375,349.49896240234375,-4436.64208984375
-2741.251708984375,349.4989318847656,-4436.642578125
-2741.252197265625,349.4989318847656,-4436.64306640625
-2741.252685546875,349.4989013671875,-4436.64404296875
-2741.2529296875,349.4988708496094,-4436.64453125
-2741.2529296875,349.49884033203125,-4436.64501953125
-2741.2529296875,349.49884033203125,-4436.64501953125
-2741.2529296875,349.49884033203125,-4436.64501953125
-2741.2529296875,349.49884033203125,-4436.64501953125
-2741.2529296875,349.49884033203125,-4436.64501953125
-2741.25146484375,349.4988708496094,-4436.64404296875
-2741.246337890625,349.4989318847656,-4436.640625
-2741.233154296875,349.49908447265625,-4436.63232421875
-2741.206787109375,349.4994812011719,-4436.6201171875
-2741.1669921875,349.5003356933594,-4436.60400390625
-2741.11474609375,349.50146484375,-4436.58203125
-2741.051025390625,349.5026550292969,-4436.55517578125
-2740.97802734375,349.50372314453125,-4436.52294921875
-2740.8974609375,349.5049133300781,-4436.4853515625
-2740.808349609375,349.50640869140625,-4436.4423828125
-2740.708984375,349.5083923339844,-4436.3916015625
-2740.6025390625,349.5108642578125,-4436.33447265625
-2740.491943359375,349.5135192871094,-4436.27294921875
-2740.370361328125,349.5163269042969,-4436.201171875
-2740.24169921875,349.5204162597656,-4436.1201171875
-2740.1064453125,349.52435302734375,-4436.03173828125
-2739.964599609375,349.52716064453125,-4435.93701171875
-2739.81884765625,349.5294189453125,-4435.83447265625
-2739.665771484375,349.5319519042969,-4435.72021484375
-2739.507568359375,349.53485107421875,-4435.59375
-2739.34765625,349.5379333496094,-4435.45751953125
-2739.18359375,349.5404968261719,-4435.30908203125
-2739.015869140625,349.5423583984375,-4435.14599609375
-2738.8466796875,349.54437255859375,-4434.96875
-2738.677490234375,349.54656982421875,-4434.7783203125
